danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Mood Label
0.828,0.893,1,-3.344,1,0.0496,0.033,0.00535,0.0811,0.602,124.043,145766,epic
0.62,0.935,1,-0.504,1,0.252,0.228,0.00443,0.0601,0.559,87.532,177292,epic
0.84,0.667,8,-7.126,1,0.0843,0.0439,1.34E-05,0.179,0.292,120.044,145667,epic
0.925,0.561,3,-8.675,1,0.176,0.0659,0.0271,0.152,0.721,128.034,181365,epic
0.797,0.631,3,-3.818,0,0.0786,0.0904,3.71E-06,0.0998,0.288,129.915,184213,epic
0.793,0.736,7,-3.254,0,0.0469,0.0822,0,0.109,0.656,112.993,237525,epic
0.587,0.0614,9,-22.387,0,0.0484,0.981,0.894,0.112,0.399,75.041,156067,focus
0.416,0.0608,7,-18.971,1,0.041,0.961,0.87,0.129,0.158,66.707,165483,focus
0.599,0.114,4,-20.061,1,0.0399,0.966,0.917,0.109,0.0553,79.979,129187,focus
0.297,0.0461,0,-20.517,0,0.0336,0.91,0.895,0.112,0.0927,73.838,126506,focus
0.577,0.0721,2,-22.973,1,0.0317,0.981,0.898,0.111,0.242,73.998,151917,focus
0.467,0.243,11,-22.534,1,0.0332,0.842,0.947,0.115,0.0541,75.031,158000,focus
0.442,0.112,2,-18.687,1,0.0415,0.985,0.919,0.111,0.111,112.206,126986,focus
0.509,0.212,6,-23.342,1,0.0305,0.843,0.853,0.111,0.0711,84,143500,focus
0.346,0.0513,7,-20.528,1,0.0432,0.954,0.895,0.105,0.058,129.445,183500,focus
0.378,0.0973,3,-20.7,1,0.0418,0.955,0.94,0.115,0.0564,118.209,154992,focus
0.529,0.214,6,-19.268,1,0.0315,0.8,0.907,0.109,0.0903,124.069,149000,focus
0.513,0.0646,0,-21.471,1,0.0352,0.964,0.828,0.0967,0.135,74.906,169567,focus
0.641,0.0198,11,-20.453,0,0.05,0.921,0.908,0.117,0.248,74.006,136442,focus
0.599,0.105,11,-18.588,0,0.0325,0.986,0.876,0.111,0.185,72.16,141693,focus
0.56,0.158,1,-17.596,1,0.0321,0.98,0.879,0.111,0.234,138.093,119185,focus
0.496,0.103,5,-21.476,0,0.035,0.933,0.893,0.111,0.0696,143.55,149708,focus
0.247,0.015,11,-22.966,0,0.0352,0.976,0.823,0.103,0.142,35.75,128240,focus
0.376,0.0199,9,-19.075,1,0.0446,0.987,0.93,0.107,0.136,74.801,139419,focus
0.517,0.0377,5,-24.575,1,0.034,0.972,0.894,0.109,0.0699,79.983,125438,focus
0.46,0.188,1,-22.21,0,0.0333,0.944,0.817,0.108,0.075,74.04,186010,focus
0.587,0.101,6,-19.363,0,0.035,0.895,0.915,0.111,0.167,74.047,178300,focus
0.614,0.109,11,-18.283,0,0.0471,0.913,0.905,0.11,0.158,148.072,165459,focus
0.352,0.153,4,-15.869,1,0.0389,0.989,0.931,0.142,0.191,71.719,159500,focus
0.5,0.0744,7,-20.888,1,0.0381,0.959,0.93,0.11,0.0828,65.364,163917,focus
0.498,0.119,0,-20.206,1,0.0286,0.874,0.942,0.111,0.0532,74.921,136258,focus
0.521,0.119,10,-18.879,1,0.0364,0.976,0.878,0.113,0.163,59.008,153878,focus
0.316,0.0899,0,-22.09,1,0.0458,0.864,0.845,0.112,0.0903,73.709,137365,focus
0.58,0.0541,10,-20.988,0,0.0312,0.978,0.896,0.111,0.208,147.79,165260,focus
0.352,0.074,4,-23.149,0,0.0303,0.98,0.879,0.107,0.116,71.46,163831,focus
0.528,0.103,5,-21.485,1,0.0324,0.838,0.868,0.114,0.0896,84.035,124286,focus
0.452,0.0314,11,-23.602,0,0.0399,0.911,0.918,0.119,0.0507,78.082,140525,focus
0.599,0.209,1,-19.438,1,0.0374,0.898,0.843,0.112,0.125,139.926,150718,focus
0.621,0.136,9,-26.077,0,0.0396,0.859,0.906,0.111,0.131,140.068,132500,focus
0.536,0.189,2,-17.024,1,0.0394,0.858,0.897,0.111,0.122,73.964,161316,focus
0.594,0.0979,2,-16.918,1,0.0379,0.978,0.931,0.112,0.191,133.627,192592,focus
0.617,0.127,11,-17.301,0,0.0386,0.956,0.707,0.111,0.198,116.099,128000,focus
0.653,0.134,4,-19.707,1,0.062,0.836,0.876,0.0908,0.0937,120.033,157681,focus
0.542,0.106,0,-20.175,1,0.0389,0.955,0.947,0.0812,0.141,67.994,178599,focus
0.591,0.0949,6,-15.708,0,0.0462,0.967,0.902,0.103,0.146,136.406,121765,focus
0.605,0.055,10,-22.641,0,0.0313,0.95,0.907,0.113,0.139,74.966,135700,focus
0.392,0.194,5,-16.216,0,0.034,0.98,0.91,0.118,0.179,108.663,182434,focus
0.646,0.153,5,-20.776,1,0.0362,0.946,0.821,0.207,0.124,92.699,165724,focus
0.551,0.128,2,-16.382,1,0.0316,0.927,0.937,0.105,0.0828,74.934,184231,focus
